"Name","Created","model","fold","test_score","multimodal_state","Commit","runtime"
"toy_capitalized_count_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_ft","2026-03-06T03:36:42.000Z","LightGBM 💡","4","0.930220118216588","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","2968.671099424362"
"toy_contains_token_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_ft","2026-03-06T03:26:37.000Z","LightGBM 💡","4","0.9996943215737044","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","3480.79954457283"
"toy_first_letter_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_ft","2026-03-06T03:17:18.000Z","LightGBM 💡","4","0.9834342408046216","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","6002.610589027405"
"toy_mass_ratio_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_ft","2026-03-06T02:31:17.000Z","LightGBM 💡","4","0.9874458584006144","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","3257.5076937675476"
"toy_complexity_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_ft","2026-03-06T02:28:57.000Z","LightGBM 💡","4","0.8885596284451204","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","4005.782319784165"
"toy_quadrant_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_ft","2026-03-06T02:28:43.000Z","LightGBM 💡","4","0.9182186497816798","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","4404.609725952148"
"toy_capitalized_count_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_all","2026-03-06T02:24:14.000Z","LightGBM 💡","4","0.8905006438104408","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","410.2134203910827"
"toy_contains_token_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_all","2026-03-06T02:17:36.000Z","LightGBM 💡","4","0.8909806883158917","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","664.7075619697571"
"toy_first_letter_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_all","2026-03-06T02:17:18.000Z","LightGBM 💡","4","0.7292234487902206","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","665.762699842453"
"toy_mass_ratio_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_all","2026-03-06T02:05:30.000Z","LightGBM 💡","4","0.7243120941709719","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","662.8218200206757"
"toy_complexity_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_all","2026-03-06T02:05:22.000Z","LightGBM 💡","4","0.7760028776120292","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","662.4332363605499"
"toy_quadrant_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_4_all","2026-03-06T01:53:20.000Z","LightGBM 💡","4","0.5631466812115216","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","684.3773391246796"
"toy_capitalized_count_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_ft","2026-03-06T01:46:09.000Z","LightGBM 💡","3","0.9356170455023058","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","6741.509191036224"
"toy_contains_token_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_ft","2026-03-06T01:39:06.000Z","LightGBM 💡","3","0.9733160714927896","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","5872.585328817368"
"toy_first_letter_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_ft","2026-03-06T01:08:13.000Z","LightGBM 💡","3","0.976883432826444","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","4540.734736919403"
"toy_mass_ratio_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_ft","2026-03-06T00:33:08.000Z","LightGBM 💡","3","0.9919971074780638","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","5483.086334943771"
"toy_complexity_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_ft","2026-03-06T00:24:37.000Z","LightGBM 💡","3","0.8862094543719574","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","2559.1767206192017"
"toy_quadrant_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_ft","2026-03-06T00:22:06.000Z","LightGBM 💡","3","0.9236490848368268","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","5008.473698616028"
"toy_capitalized_count_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_all","2026-03-06T00:21:04.000Z","LightGBM 💡","3","0.9079675840487844","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","708.2239046096802"
"toy_contains_token_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_all","2026-03-06T00:17:27.000Z","LightGBM 💡","3","0.8275614054015176","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","415.8752863407135"
"toy_first_letter_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_all","2026-03-06T00:10:16.000Z","LightGBM 💡","3","0.7247291849008916","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","417.7592527866363"
"toy_mass_ratio_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_all","2026-03-06T00:08:15.000Z","LightGBM 💡","3","0.7163297027710062","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","707.8602640628815"
"toy_complexity_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_all","2026-03-06T00:07:56.000Z","LightGBM 💡","3","0.7851501054875912","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","795.8452732563019"
"toy_quadrant_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_3_all","2026-03-05T23:55:49.000Z","LightGBM 💡","3","0.5319401784199554","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","708.3912680149078"
"toy_capitalized_count_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_2_ft","2026-03-05T23:49:31.000Z","LightGBM 💡","2","0.9397110685724984","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","6558.037504434586"
"toy_contains_token_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_2_ft","2026-03-05T23:27:38.000Z","LightGBM 💡","2","0.9947495235012768","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","2542.170730829239"
"toy_first_letter_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_2_ft","2026-03-05T22:54:06.000Z","LightGBM 💡","2","0.9864346058319664","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","10736.957733392715"
"toy_mass_ratio_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_2_ft","2026-03-05T22:50:54.000Z","LightGBM 💡","2","0.98798447878693","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","4557.164259672165"
"toy_complexity_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_2_ft","2026-03-05T22:48:03.000Z","LightGBM 💡","2","0.8725314785409164","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","4010.5860683918"
"toy_quadrant_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_2_ft","2026-03-05T22:44:22.000Z","LightGBM 💡","2","0.9171661539717348","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","2556.808052301407"
"toy_first_letter_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_1_all","2026-03-05T22:37:23.000Z","LightGBM 💡","1","0.7161387503805903","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","795.6414868831635"
"toy_mass_ratio_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_1_all","2026-03-05T22:35:14.000Z","LightGBM 💡","1","0.7320689732292621","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","707.2750999927521"
"toy_complexity_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_1_all","2026-03-05T22:23:15.000Z","LightGBM 💡","1","0.7538672570989793","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","795.0709855556488"
"toy_quadrant_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_1_all","2026-03-05T22:22:44.000Z","LightGBM 💡","1","0.5498685190371382","all","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","713.2700197696686"
"toy_capitalized_count_MUL_IMAGE_SOCIAL_PETFINDER_ADOPTION_0_ft","2026-03-05T21:48:43.000Z","LightGBM 💡","0","0.9509710648280816","ft","9a06b59236d5ba71c8e2ed71b0d61f449b6c286b","3320.305673599243"
